text,label
I absolutely loved this product!,positive
This is the best purchase I have ever made.,positive
The customer service was fantastic and friendly.,positive
I am so happy with how this turned out.,positive
"What a wonderful experience, I will definitely come back.",positive
The food at this restaurant was delicious and fresh.,positive
I feel amazing after using this app every day.,positive
"This movie was incredible, I laughed the whole time.",positive
"Thank you so much, this made my day!",positive
The staff went above and beyond to help me.,positive
I am thrilled with the quality of this item.,positive
"Great job, the team did an outstanding job.",positive
"This is exactly what I needed, perfect fit.",positive
I love how easy this software is to use.,positive
The concert last night was absolutely amazing.,positive
My new phone works flawlessly and looks great.,positive
This book was a joy to read from start to finish.,positive
"The hotel room was clean, cozy, and beautiful.",positive
I am grateful for such wonderful support.,positive
Everything about this trip was perfect.,positive
The delivery was fast and the packaging was excellent.,positive
I feel so relaxed and refreshed after the spa day.,positive
This coffee shop has the best atmosphere ever.,positive
I am proud of how far our team has come.,positive
The new update fixed everything and runs smoothly.,positive
"What a fantastic surprise, I did not expect this!",positive
The kids had so much fun at the amusement park.,positive
I highly recommend this course to everyone.,positive
This is by far the friendliest neighborhood I have lived in.,positive
The wedding was beautiful and full of joy.,positive
I am excited to start this new job next week.,positive
The garden looks stunning this time of year.,positive
Our vacation exceeded all of our expectations.,positive
I appreciate your kindness and patience with me.,positive
"This laptop is fast, sleek, and reliable.",positive
The presentation went smoothly and everyone was impressed.,positive
I am delighted with the results of the treatment.,positive
This app has made my life so much easier.,positive
The sunset tonight was absolutely breathtaking.,positive
I am so proud of my daughter's achievements.,positive
The service was terrible.,negative
I am extremely disappointed with this purchase.,negative
This is the worst experience I have ever had.,negative
The food was cold and tasteless.,negative
"I regret buying this product, it broke immediately.",negative
The staff was rude and unhelpful.,negative
This app keeps crashing and it is so frustrating.,negative
I waited two hours and nobody came to help me.,negative
The room was dirty and smelled awful.,negative
This movie was boring and way too long.,negative
I am furious about how this situation was handled.,negative
The quality of this item is really poor.,negative
Nothing about this trip went as planned.,negative
I feel let down by the lack of support.,negative
The package arrived damaged and late.,negative
This is a complete waste of money.,negative
The customer support ignored all my emails.,negative
I am so tired of dealing with these constant errors.,negative
The concert was a huge disappointment.,negative
This laptop is slow and overheats constantly.,negative
I hate how complicated this software is to use.,negative
The meeting was a disaster from start to finish.,negative
The noise from upstairs kept me awake all night.,negative
I am upset that my order was cancelled without notice.,negative
The instructions were confusing and unclear.,negative
This restaurant has gone downhill over the years.,negative
I feel exhausted and stressed out from work.,negative
The product description was completely misleading.,negative
This is unacceptable behavior from a company.,negative
I am angry that nobody took responsibility for the mistake.,negative
The traffic today was absolutely horrible.,negative
This update broke features that used to work fine.,negative
I am scared about what might happen next.,negative
The refund process was slow and painful.,negative
Everything about this experience felt rushed and careless.,negative
I can't believe how badly this was managed.,negative
The internet connection keeps dropping every few minutes.,negative
This device stopped working after just one week.,negative
I am disgusted by the condition of this place.,negative
The whole trip was ruined by bad weather and delays.,negative
The package arrived today.,neutral
The meeting is scheduled for 3 PM tomorrow.,neutral
I went to the store to buy some groceries.,neutral
The report contains data from the last quarter.,neutral
She walked to the bus stop this morning.,neutral
The office will be closed on public holidays.,neutral
This document explains the steps to reset your password.,neutral
The train departs from platform four.,neutral
He works as an accountant in the city.,neutral
The weather forecast predicts rain tomorrow.,neutral
The book has three hundred pages.,neutral
I need to submit the form by Friday.,neutral
The store opens at nine in the morning.,neutral
There are twelve chapters in this textbook.,neutral
The car is parked outside the building.,neutral
The recipe requires two cups of flour.,neutral
The conference will take place in the main hall.,neutral
The invoice was sent to the finance department.,neutral
The bridge connects the two sides of the river.,neutral
The software update is available for download.,neutral
The library is located on the second floor.,neutral
The flight is scheduled to depart at noon.,neutral
The company was founded in 1998.,neutral
The printer is out of paper.,neutral
The survey results will be published next month.,neutral
The museum exhibit features ancient artifacts.,neutral
The password must contain at least eight characters.,neutral
The team held a status update call this afternoon.,neutral
The parking lot is located behind the building.,neutral
The article discusses recent trends in technology.,neutral
The thermostat is set to seventy degrees.,neutral
The warehouse stores inventory for the entire region.,neutral
The class starts at ten and ends at noon.,neutral
The email was forwarded to the support team.,neutral
The building has five floors and two elevators.,neutral
The spreadsheet contains sales figures for each month.,neutral
The bus route was changed last week.,neutral
The manual describes how to assemble the furniture.,neutral
The store accepts both cash and card payments.,neutral
The website was updated with new content.,neutral
